218,593
1176,617
57,515
806,674
517,740
402,553
1118,53
596,577
473,147
166,817
149,154
209,228
170,159
124,376
960,481
107,73
646,313
708,393
1215,696
706,780
969,149
686,189
552,771
523,322
1058,789
155,205
616,782
113,154
1017,280
15,352
774,623
649,633
435,591
353,638
273,327
1139,180
763,821
360,506
219,432
656,770
499,124
1081,691
1079,68
1012,204
1146,665
669,421
192,558
92,873
626,477
1250,435
65,99
790,36
1208,795
1290,634
344,229
1171,43
179,154
75,316
398,788
725,80
793,694
1146,217
179,740
848,841
972,100
1010,313
495,399
410,4
442,315
1222,75
458,768
10,100
683,537
994,570
771,91
1240,330
417,201
1280,828
462,725
795,204
833,697
1206,357
164,217
438,312
161,621
1154,497
910,49
236,704
428,350
338,100
1215,870
589,219
956,245
1299,752
1139,409
736,750
70,564
1266,847
20,219
1056,78
688,488
326,376
445,666
1086,829
1155,205
715,138
484,455
1010,649
226,544
460,710
1032,616
811,385
756,126
644,655
518,693
97,451
671,800
624,705
336,303
468,294
356,652
651,495
869,546
174,642
1068,705
708,365
566,733
950,164
266,843
435,562
391,873
391,294
75,764
38,112
388,771
149,201
375,635
972,794
343,542
1299,142
1103,525
192,753
1063,441
989,709
8,329
316,794
524,96
666,794
822,705
256,442
708,281
338,207
31,273
994,239
1203,73
170,567
231,68
1028,259
1138,102
1079,480
944,289
714,129
935,635
977,261
443,54
723,508
376,651
1032,894
845,807
237,621
775,530
393,123
1006,413
465,87
579,578
22,600
580,341
284,23
328,128
244,627
10,794
433,597
684,240
875,751
994,155
137,304
984,742
441,702
1079,414
776,142
656,670
1163,819
321,633
524,315
65,219
15,94
1196,782
1250,883
136,649
977,709
709,887
338,879
1144,77
801,210
1196,392
1057,241
391,425
602,393
643,590
669,429
1039,544
433,297
1198,281
408,638
1220,190
910,221
254,845
430,829
790,277
758,381
758,323
323,467
500,291
520,858
951,808
114,782
186,600
391,469
1176,57
894,628
1176,277
179,787
8,113
795,690
290,707
10,465
1170,93
301,591
982,766
1120,649
813,633
1174,649
887,869
806,884
361,301
383,350
336,79
236,515
473,528
333,521
1258,689
1203,521
875,487
498,371
300,313
244,267
972,330
770,782
644,476
976,887
641,17
149,714
208,355
902,638
887,826
1302,815
518,439
803,292
932,429
124,638
997,730
459,98
1243,609
505,180
623,796
539,257
694,179
1056,721
641,473
416,628
1284,537
1280,66
172,792
402,789
1252,544
1174,439
11,752
1158,291
1240,620
723,386
244,4
892,621
58,765
818,236
1017,301
753,651
1148,0
1235,764
527,816
115,637
999,787
1006,481
500,739
137,416
1000,229
997,25
313,25
508,229
1156,326
639,516
672,411
328,376
930,134
508,341
226,350
1161,180
458,763
900,420
825,37
728,704
1084,544
792,649
808,575
872,312
113,516
48,488
831,640
298,92
23,379
381,663
674,315
402,105
417,649
663,462
500,313
304,824
514,861
810,774
669,249
107,704
1092,593
969,297
492,336
147,819
792,693
1278,276
107,821
997,205
1285,396
728,67
704,894
1140,735
1121,292
423,205
102,430
408,644
194,184
294,612
810,333
582,827
1158,603
1262,488
874,719
728,827
318,143
492,457
336,43
940,871
515,466
293,525
1115,86
611,364
509,646
418,379
462,753
987,287
639,110
982,152
464,693
1086,571
917,123
1089,297
1121,87
238,628
370,870
1180,350
169,814
694,715
411,621
826,775
134,617
641,249
887,733
874,271
410,474
796,481
1300,465
21,399
606,198
837,147
16,411
975,14
694,826
638,483
475,107
1000,236
622,406
1031,707
279,707
666,655
837,528
763,143
418,256
957,254
864,427
668,296
1141,485
318,781
1124,801
207,369
1103,369
805,714
333,709
514,353
1289,399
820,889
1294,859
504,674
974,751
509,658
1196,868
1193,676
893,693
323,159
508,105
1196,726
962,186
957,638
1176,53
1037,215
1074,190
908,553
818,620
806,436
1297,197
671,107
152,603
147,75
930,760
917,347
682,357
13,136
956,649
1094,666
927,544
1203,780
1049,323
589,99
90,190
279,315
80,108
278,224
343,339
872,393
812,371
304,413
423,752
536,623
632,152
1277,299
1156,120
808,689
1047,152
380,312
1102,243
1280,466
786,756
606,616
